sid,link_name,borough,polyline,link_length_ft,aggregation_period_sec,n_samples,median_calculation_timestamp,median_tt_sec,median_speed_fps
85116,49th Street - Westbound - 10th Ave to 11th Ave,Manhattan,kvxwFprrbMoFzP,903.4,900,47,4/5/2026 12:24:14,39.0,23.16
87088,Cross Bay Blvd - Southbound - Rockaway Blvd to 156th Ave,Queens,smhwFrxuaMrAFhASx@SxDc@nC_@nFeAbDm@fCo@dDQzCJ`B@|EKlCa@~KwBpJiBdJsAjCg@dDc@,6156.07,900,29,4/5/2026 12:24:14,320.0,19.24
88087,Cross Bay Blvd - Northbound - 156th Ave to Rockaway Blvd,Queens,afewF~`uaMmJ~AkFx@aFv@cP|CuEj@{EVoGSsCR}GrAcGtAsIz@mBd@gAD,6115.42,900,28,4/5/2026 12:24:14,326.5,18.73
91092,Cross Bay Blvd - Southbound - W 6th Rd to W 20th Rd,Queens,iqzvF~xpaMdCPpFd@xFf@lCR|Gh@lGl@nCTpGh@xK|@,3951.99,900,64,4/5/2026 12:24:14,145.5,27.16
92144,Cross Bay Blvd - Southbound - 20 Rd to Beach Channel Dr @ Beach 116 St,Queens,_nxvF`cqaM`M~@bg@wIrLQ`Ah@pCfFz@hBdFhV`CzL`ClMXbGJdA~BrNnHp\,9819.22,900,16,4/5/2026 12:24:14,845.5,11.61
93113,Ocean Pkwy - Northbound - Kings Hwy to Avenue I,Brooklyn,iyyvFxqmbM{`CfW,7656.58,900,116,4/5/2026 12:24:14,354.0,21.63
94093,Ocean Pkwy - Northbound - Avenue U to Kings Hwy,Brooklyn,ogxvFhjmbMcMvAab@nE,2900.21,900,105,4/5/2026 12:24:14,105.0,27.62
94098,Ocean Pkwy - Southbound - Avenue U to Avenue X,Brooklyn,kgxvFdlmbMd[gDzL~A,2482.41,900,4,4/5/2026 12:24:14,560.0,4.43
95170,Woodhaven Blvd - Northbound - Furmanville Ave to Dry Harbor Rd,Queens,gepwF~yyaMuMlL}I~HiTbI,3142.13,900,94,4/5/2026 12:24:14,133.0,23.63
97099,Woodhaven Blvd - Southbound - Union Turnpike to Myrtle Ave,Queens,qhmwFbnxaMtEkH|BcEn@m@`Ee@,1390.94,900,118,4/5/2026 12:24:14,93.0,14.96
98094,Ocean Pkwy - Northbound - Avenue X to Avenue U,Brooklyn,u}vvFvfmbM{L{AsEf@oT`C,2478.31,900,90,4/5/2026 12:24:14,126.0,19.67
98100,Ocean Pkwy - Southbound - Avenue X to Shore Pkwy,Brooklyn,k}vvFzimbMbMpCtL`A`L~A,2427.04,900,60,4/5/2026 12:24:14,93.0,26.1
99097,Woodhaven Blvd - Northbound - Myrtle Ave to Union Tpke,Queens,_vlwFfywaMqCDaA\{AzAoBfDiE|G,1454.25,900,9,4/5/2026 12:24:14,1050.0,1.38
100098,Ocean Pkwy - Northbound - Shore Pkwy to Avenue X,Brooklyn,qtuvFjpmbMkLcB}LeB{LeB,2440.72,900,6,4/5/2026 12:24:14,638.0,3.83
100115,Ocean Pkwy - Southbound - Shore Pkwy to Sea Breeze Ave,Brooklyn,ktuvFhtmbM~q@tJrEx@,3416.59,900,15,4/5/2026 12:24:14,155.0,22.04
102103,34th Street - Westbound - 1st Ave to 2nd Ave,Manhattan,gxtwF~|nbMgEtM,744.96,900,6,4/5/2026 12:24:14,686.0,1.09
103020,34th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,e~twF~kobM{D|L,705.32,900,27,4/5/2026 12:24:14,81.0,8.71
103102,34th Street - Eastbound - 2nd Ave to 1st Ave,Manhattan,k}twFnlobMhEsM,744.35,900,4,4/5/2026 12:24:14,377.0,1.97
103105,2nd Avenue - Southbound - 34th St to 23rd St,Manhattan,u}twFhlobM`j@l^,2872.45,900,23,4/5/2026 12:24:14,99.0,29.01
104079,23rd Street - Eastbound - 11th Ave to 10th Ave,Manhattan,uvuwF`oubMbFqP,880.96,900,3,4/5/2026 12:24:14,124.0,7.1
105045,23rd Street - Eastbound - 2nd Ave to 1st Ave,Manhattan,erswFblpbMfEyM,749.85,900,7,4/5/2026 12:24:14,39.0,19.23
106107,7th Avenue - Southbound - 23rd St to 14th St,Manhattan,oytwF|gsbMta@bX,2309.57,900,29,4/5/2026 12:24:14,107.0,21.58
108104,11th Avenue - Southbound - 34th St to 23rd St,Manhattan,gbwwFjotbMdj@d_@,2894.89,900,2,4/5/2026 12:24:14,1225.0,2.36
109049,42nd Street - Eastbound - 10th Ave to 9th Ave,Manhattan,{ywwFjgsbMhF}P,900.64,900,2,4/5/2026 12:24:14,84.0,10.72
109080,42nd Street - Westbound - 10th Ave to 11th Ave,Manhattan,q{wwFffsbMoFpP,891.38,900,20,4/5/2026 12:24:14,46.5,19.17
109085,10th Avenue - Northbound - 42nd St to 49th St,Manhattan,uzwwFxfsbMsZgS,1844.34,900,31,4/5/2026 12:24:14,205.0,9.0
111112,Ocean Pkwy - Northbound - Ditmas Ave to Church Ave,Brooklyn,ew_wFhunbMsv@xI,3281.96,900,3,4/5/2026 12:24:14,1111.0,2.95
111113,Ocean Pkwy - Southbound - Ditmas Ave to Avenue I,Brooklyn,ov_wFj{nbMvz@wJ,3526.24,900,135,4/5/2026 12:24:14,192.0,18.37
112111,Ocean Pkwy - Southbound - Church Ave to Ditmas Ave,Brooklyn,qlawFteobM`u@sI,3190.53,900,142,4/5/2026 12:24:14,150.5,21.2
113093,Ocean Pkwy - Southbound - Avenue I to Kings Hwy,Brooklyn,yz}vF|onbMdbCyW,7735.94,900,54,4/5/2026 12:24:14,315.5,24.52
113111,Ocean Pkwy - Northbound - Avenue I to Ditmas Ave,Brooklyn,c{}vF|inbMa{@nJ,3542.67,900,163,4/5/2026 12:24:14,208.0,17.03
120140,Flatbush Ave - Southbound - Aviators Sports Complex to Beach 140 st,Brooklyn,}vvvFtx`bMdhAwpApc@_Tv\mRnBqHiq@ehBgEgFgG_M,17122.83,900,20,4/5/2026 12:24:14,299.0,57.27
