sid,link_name_ezpass,borough_ezpass,polyline_ezpass,link_length_ft_ezpass,aggregation_period_sec_ezpass,n_samples_ezpass,median_calculation_timestamp_ezpass,median_tt_sec_ezpass,median_speed_fps_ezpass,link_name_traffic,borough_traffic,polyline_traffic,link_length_ft_traffic,aggregation_period_sec_traffic,n_samples_traffic,median_calculation_timestamp_traffic,median_tt_sec_traffic,median_speed_fps_traffic
39049,9th Avenue - Southbound - 49th St to 42nd St,Manhattan,}nxwF|`rbMxNhJ~JvG,1849.95,900,46,3/16/2026 16:15:01,123.5,14.98,9th Avenue - Southbound - 49th St to 42nd St,Manhattan,}nxwF|`rbMxNhJ~JvG,1849.95,900,14,3/15/2026 12:40:12,410.5,4.51
39085,49th Street - Westbound - 9th Ave to 10th Ave,Manhattan,{nxwFx`rbMoFvP,898.58,900,38,3/16/2026 16:15:01,83.0,10.83,49th Street - Westbound - 9th Ave to 10th Ave,Manhattan,{nxwFx`rbMoFvP,898.58,900,41,3/15/2026 12:40:12,40.0,22.46
41203,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan,qrwwFb{lbMcCtH,492.42,900,7,3/16/2026 16:15:01,79.0,6.23,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan,qrwwFb{lbMcCtH,492.42,900,3,3/15/2026 12:40:12,17.0,28.97
42004,42nd Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,w}uwF|tnbM}D`M,711.89,900,37,3/16/2026 16:15:01,54.0,13.18,42nd Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,w}uwF|tnbM}D`M,711.89,900,2,3/15/2026 12:40:12,35.0,20.34
42103,2nd Avenue -  Southbound - 42nd St to 34th St,Manhattan,c}uwFfunbMj^`V,2096.18,900,5,3/16/2026 16:15:01,130.0,16.12,2nd Avenue -  Southbound - 42nd St to 34th St,Manhattan,c}uwFfunbMj^`V,2096.18,0,0,3/15/2026 12:40:12,0.0,0.0
43051,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan,ij{wFb~obMoFtPe@|A,1043.2,900,11,3/16/2026 16:15:01,66.0,15.81,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan,ij{wFb~obMoFtPe@|A,1043.2,900,12,3/15/2026 12:40:12,47.0,22.2
43058,9th Avenue - Southbound - 72nd St to 57th St,Manhattan,yi{wFn~obMtZhStJrG~BtAxB|AbKtG,3955.13,900,8,3/16/2026 16:15:01,314.5,12.58,9th Avenue - Southbound - 72nd St to 57th St,Manhattan,yi{wFn~obMtZhStJrG~BtAxB|AbKtG,3955.13,900,4,3/15/2026 12:40:12,650.5,6.08
45102,1st Avenue - Northbound - 23rd St to 34th St,Manhattan,ilswF`}obMaj@y^,2880.52,900,31,3/16/2026 16:15:01,224.0,12.86,1st Avenue - Northbound - 23rd St to 34th St,Manhattan,ilswF`}obMaj@y^,2880.52,900,60,3/15/2026 12:40:12,170.0,16.94
45105,23rd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,mmswFb|obMcE~M,753.61,900,8,3/16/2026 16:15:01,30.0,25.12,23rd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,mmswFb|obMcE~M,753.61,0,0,3/15/2026 12:40:12,0.0,0.0
46042,2nd Avenue - Southbound - 49th St to 42nd St,Manhattan,ayvwFbanbM|L|HxLdI,1848.17,900,15,3/16/2026 16:15:01,171.0,10.81,2nd Avenue - Southbound - 49th St to 42nd St,Manhattan,ayvwFbanbM|L|HxLdI,1848.17,0,0,3/15/2026 12:40:12,0.0,0.0
48042,42nd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,qwuwF`fnbMeExM,747.98,900,7,3/16/2026 16:15:01,59.0,12.68,42nd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,qwuwF`fnbMeExM,747.98,0,0,3/15/2026 12:40:12,0.0,0.0
