"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"087088","Cross Bay Blvd - Southbound - Rockaway Blvd to 156th Ave","Queens","smhwFrxuaMrAFhASx@SxDc@nC_@nFeAbDm@fCo@dDQzCJ`B@|EKlCa@~KwBpJiBdJsAjCg@dDc@","6156.07","900","43","3/16/2026 16:15:01","472","13.04"
"091092","Cross Bay Blvd - Southbound - W 6th Rd to W 20th Rd","Queens","iqzvF~xpaMdCPpFd@xFf@lCR|Gh@lGl@nCTpGh@xK|@","3951.99","900","111","3/16/2026 16:15:01","129","30.64"
"092144","Cross Bay Blvd - Southbound - 20 Rd to Beach Channel Dr @ Beach 116 St","Queens","_nxvF`cqaM`M~@bg@wIrLQ`Ah@pCfFz@hBdFhV`CzL`ClMXbGJdA~BrNnHp\","9819.22","900","33","3/16/2026 16:15:01","311","31.57"
"093094","Ocean Pkwy - Southbound - Kings Hwy to Avenue U","Brooklyn","axyvFpumbMtR}B`\mD","2875.74","900","4","3/16/2026 16:15:01","323.5","8.89"
"093113","Ocean Pkwy - Northbound - Kings Hwy to Avenue I","Brooklyn","iyyvFxqmbM{`CfW","7656.58","900","107","3/16/2026 16:15:01","527","14.53"
"094093","Ocean Pkwy - Northbound - Avenue U to Kings Hwy","Brooklyn","ogxvFhjmbMcMvAab@nE","2900.21","900","102","3/16/2026 16:15:01","196.5","14.76"
"094098","Ocean Pkwy - Southbound - Avenue U to Avenue X","Brooklyn","kgxvFdlmbMd[gDzL~A","2482.41","900","6","3/16/2026 16:15:01","79","31.42"
"095170","Woodhaven Blvd - Northbound - Furmanville Ave to Dry Harbor Rd","Queens","gepwF~yyaMuMlL}I~HiTbI","3142.13","900","89","3/16/2026 16:15:01","217","14.48"
"097099","Woodhaven Blvd - Southbound - Union Turnpike to Myrtle Ave","Queens","qhmwFbnxaMtEkH|BcEn@m@`Ee@","1390.94","900","204","3/16/2026 16:15:01","57.5","24.19"
"098094","Ocean Pkwy - Northbound - Avenue X to Avenue U","Brooklyn","u}vvFvfmbM{L{AsEf@oT`C","2478.31","900","70","3/16/2026 16:15:01","555","4.47"
"098100","Ocean Pkwy - Southbound - Avenue X to Shore Pkwy","Brooklyn","k}vvFzimbMbMpCtL`A`L~A","2427.04","900","87","3/16/2026 16:15:01","74","32.8"
"100098","Ocean Pkwy - Northbound - Shore Pkwy to Avenue X","Brooklyn","qtuvFjpmbMkLcB}LeB{LeB","2440.72","900","6","3/16/2026 16:15:01","714","3.42"
"100115","Ocean Pkwy - Southbound - Shore Pkwy to Sea Breeze Ave","Brooklyn","ktuvFhtmbM~q@tJrEx@","3416.59","900","21","3/16/2026 16:15:01","107","31.93"
"102103","34th Street - Westbound - 1st Ave to 2nd Ave","Manhattan","gxtwF~|nbMgEtM","744.96","900","2","3/16/2026 16:15:01","74","10.07"
"103020","34th Street - Westbound - 2nd Ave to 3rd Ave","Manhattan","e~twF~kobM{D|L","705.32","900","39","3/16/2026 16:15:01","88","8.02"
"103102","34th Street - Eastbound - 2nd Ave to 1st Ave","Manhattan","k}twFnlobMhEsM","744.35","900","4","3/16/2026 16:15:01","178","4.18"
"103105","2nd Avenue - Southbound - 34th St to 23rd St","Manhattan","u}twFhlobM`j@l^","2872.45","900","23","3/16/2026 16:15:01","141","20.37"
