"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"113093","Ocean Pkwy - Southbound - Avenue I to Kings Hwy","Brooklyn","yz}vF|onbMdbCyW","7735.94","900","65","3/15/2026 12:40:12","382","20.25"
"113111","Ocean Pkwy - Northbound - Avenue I to Ditmas Ave","Brooklyn","c{}vF|inbMa{@nJ","3542.67","900","160","3/15/2026 12:40:12","163.5","21.67"
"116080","11th Avenue - Southbound - 49th St to 42nd St","Manhattan","y}xwFldsbMpZ`S","1837.13","900","5","3/15/2026 12:40:12","112","16.4"
"118023","34th Street - Westbound - 5th Ave to 6th Ave","Manhattan","auuwFdbqbMqG|R","1013.44","900","43","3/15/2026 12:40:12","53","19.12"
"119061","9th Avenue - Southbound - 37th St to 34th St","Manhattan","s_wwFdcsbM|JvG","797","900","8","3/15/2026 12:40:12","308","2.59"
"120140","Flatbush Ave - Southbound - Aviators Sports Complex to Beach 140 st","Brooklyn","}vvvFtx`bMdhAwpApc@_Tv\mRnBqHiq@ehBgEgFgG_M","17122.83","900","36","3/15/2026 12:40:12","288.5","59.35"
"121127","Hylan Blvd - Southbound - Richmond Ave to Arden Ave","Staten Island","ozkvFvercMrLvKzBrBn@~@`CrHzBtGpBzG","2758.7","900","19","3/15/2026 12:40:12","59","46.76"
"121145","Hylan Blvd - Northbound - Richmond Ave to Keegans Ln","Staten Island","uykvFtdrcMqTwWyHaHuRmOyD{EuDiCiF}GaRgXyEaG","7266.26","900","36","3/15/2026 12:40:12","269.5","26.96"
"121146","Richmond Ave - Northbound - Hylan Blvd to Amboy Rd","Staten Island","ozkvF`ercMqI`RaAvB_k@fh@","4405.32","900","5","3/15/2026 12:40:12","726","6.07"
"122134","Flatbush Ave - Northbound - Avenue U to Fillmore Ave","Brooklyn","krzvFp}dbMuIbKmHxJiIvJ","2379.05","900","2","3/15/2026 12:40:12","163","14.6"
"125127","Hylan Blvd - Northbound - Huguenot Ave to Arden Ave","Staten Island","syivFpmxcMgO}k@YiBOgCv@wt@UwDo@iDsNqd@","7349.52","900","23","3/15/2026 12:40:12","181","40.61"
"127121","Hylan Blvd - Northbound - Arden Ave to Richmond Ave","Staten Island","i{jvFxrscMoFuP_CiHoAcBwOwN","2776.11","900","36","3/15/2026 12:40:12","53.5","51.89"
"127125","Hylan Blvd - Southbound - Arden Ave to Huguenot Ave","Staten Island","}{jvFnsscMfFfPhG`SZpAR|AF`ADzBY`[]~TJtCL~AfAvFv@nCzK~b@","7338.97","900","40","3/15/2026 12:40:12","220","33.36"
"133134","Flatbush Ave - Southbound - Kings Hwy to Fillmore Ave","Brooklyn","i`}vFfwgbMbFoFhIsJr]aa@","3664.03","900","2","3/15/2026 12:40:12","170","21.55"
"134133","Flatbush Ave - Northbound - Fillmore Ave to Kings Hwy","Brooklyn","}p{vF|`fbM_BjBeF|Fu]da@{EfF","3637.56","900","58","3/15/2026 12:40:12","194","18.75"
"139146","Richmond Ave - Southbound - Wainwright Ave to Amboy Rd","Queens","m|pvFphucMbn@qItP_C`H_A|AWf@YlB{B`J}AbFuApEcF","6482.4","900","31","3/15/2026 12:40:12","346","18.74"
"140120","Beach Channel Dr - Westbound - Beach 140 St to Aviators Sports Complex","Queens","sitvFzvxaMbIdRjB|A~FpOh]p|@|JxXiC|GqcAti@ma@df@wa@ne@","16938.92","900","43","3/15/2026 12:40:12","268","63.2"
"140144","Beach Channel Dr - Eastbound - Beach 140 St to Beach 116 St","Queens","whtvFlvxaM}Rwd@mAuCw@cD_AuJOyQnAcM{@_i@","6413.01","900","56","3/15/2026 12:40:12","154.5","41.51"
"144140","Beach Channel Dr - Westbound - Beach 116 St to Beach 140 St","Queens","_duvFxptaMbAnh@oAhMRhRx@rI|@`EpUti@","6431.79","900","60","3/15/2026 12:40:12","149.5","43.02"
"145121","Hylan Blvd - Southbound - Keegans Ln to Richmond Ave","Staten Island","mznvFf~ncM|@lAfDpDzBhDvMzRxH|IfB|@zD`FlZfVrVlZ","7276.22","900","13","3/15/2026 12:40:12","190","38.3"
"146121","Richmond Ave - Southbound - Amboy Rd to Hylan Blvd","Staten Island","crmvFxetcM~IoIzYeXhBeBdByB|JmT","4389.04","900","19","3/15/2026 12:40:12","171","25.67"
"150147","Rockaway Blvd - Northbound - Farmers Blvd to South Conduit Ave","Queens","cjdwFf|gaM_@v@kTrPoTrQ","3070.28","900","15","3/15/2026 12:40:12","174","17.65"
"154182","Beach Channel Dr - Eastbound - Bay 32 st to Mott Ave","Queens","wlxvFflfaMyKyYgBeC_A_EaDcGqH_QoFiBg@Y","3942.33","900","3","3/15/2026 12:40:12","201","19.61"
"155180","Seagirt Blvd - Westbound - Beach 9th St to Beach 32nd St","Queens","{_xvFxcbaM`FxUZjFLdEB~TOzNc@hKuBrI]vK|@`S}@~H{AvB","6602.6","900","24","3/15/2026 12:40:12","165","40.02"
"156181","Beach Channel Dr - Eastbound - Beach 90 st to Beach 69 st","Queens","mjvvFnmpaMaByAoJwUGoDPwGUsHs@mCYqD@uC|AkMcByV]w@{G_Fg@uBIkD","6016.21","900","11","3/15/2026 12:40:12","151","39.84"
"157158","Main St - Northbound - Roosevelt Ave to Northern Blvd","Queens","azwwFr|raMwKjEwG`D","1353.43","900","9","3/15/2026 12:40:12","191","7.09"
"157160","Main St @ Roosevelt to Kissena Blvd @ Sanford Ave","Queens","_zwwFx}raMlDsAf@q@fG_N","1258.02","900","5","3/15/2026 12:40:12","826","1.52"
"157163","Roosevelt Ave - Eastbound - Main St to Parsons Blvd","Queens","{ywwFf}raM}Koq@","2356.96","900","9","3/15/2026 12:40:12","213","11.07"
"158157","Main St - Southbound - Northern Blvd to Roosevelt Ave","Queens","koxwFvisaM|GwDfK_E","1342.98","900","7","3/15/2026 12:40:12","465","2.89"
"159157","Main St - Northbound - Sanford Ave to Roosevelt Ave","Queens","khwwFftraMwJnDgEzA","1114.01","900","3","3/15/2026 12:40:12","96","11.6"
"159176","Sanford Ave - Westbound - Main St to College Pnt Blvd","Queens","ehwwFztraMtKvY","1395.48","900","2","3/15/2026 12:40:12","149","9.37"
"159179","Main St - Southbound - Sanford Ave to Peck Ave","Queens","ahwwFburaM|McE`Bc@zFqC~BmB`BcAnAm@hAIhA@bDT","2811.63","900","4","3/15/2026 12:40:12","438","6.42"
"160157","Kissena Blvd @ Sanford Ave to Main St @ Roosevelt Ave - Northbound","Queens","kkwwFviraMaHbO_ExA","1259.4","900","7","3/15/2026 12:40:12","297","4.24"
"160159","Sanford Avenue - Westbound - Kissena Blvd to Main St","Queens","ckwwFfjraMzAxI","506.67","900","25","3/15/2026 12:40:12","226","2.24"
"161162","Horace Harding Expwy NSR - Westbound - Kissena Blvd to Main St","Queens","e{swFh_paMgAxGuB`JaNxk@","3113.87","900","16","3/15/2026 12:40:12","153","20.35"
"161183","Kissena Blvd - Northbound - Horace Harding Expwy NSR to Holly Ave","Queens","c{swFx~oaMi@@WFqCAqBUsGyA}LsCwAO{AKiAHs]x`@","4752.54","900","5","3/15/2026 12:40:12","360","13.2"
"162175","Horace Harding Expwy - Westbound - Main St to College Pnt Blvd","Queens","_ptwF|_raMWtAqBf`@wAz]w@dD","3237.65","900","12","3/15/2026 12:40:12","153","21.16"
"162179","Main St - Northbound - Horace Harding Expwy to Peck Ave","Queens","cptwFr_raMaXxCgPgA","2490.09","900","2","3/15/2026 12:40:12","358","6.96"
"163157","Roosevelt Ave - Westbound - Parsons Blvd to Main St","Queens","ogxwF`kqaMzKlq@","2353.17","900","9","3/15/2026 12:40:12","339","6.94"
"163164","Parsons Blvd - Northbound - Roosevelt Ave to Northern Blvd","Queens","egxwFpjqaM}QxG","1172.03","900","9","3/15/2026 12:40:12","190","6.17"
"164163","Parsons Blvd - Southbound - Northern Blvd to Roosevel Ave","Queens","_zxwFbtqaM~Q{G","1176.39","900","4","3/15/2026 12:40:12","308","3.82"
"166167","Jackie Robinson Pkwy - Southbound - Metropolitan Ave to Forest Pk Dr","Queens","c~mwFveuaM~@zBr@tCp@zGTrIFhMRdCVlBf@tBlAbCjAvAlHpFzBtC|BnFdBxMlDpLR`CFlC}@xJObGH|El@jFdAlEpBhDjDzBfEx@`FvAtBdCbAxC","9838.75","900","2","3/15/2026 12:40:12","1075","9.15"
